wavelength_nm,relative_intensity
1520.0,0.42275584
1520.01,0.41711143
1520.02,0.41566023
1520.03,0.41338116
1520.04,0.41596988
1520.05,0.41614282
1520.06,0.4140495
1520.07,0.41616115
1520.08,0.41736442
1520.09,0.41924545
1520.1,0.4199669
1520.11,0.4189234
1520.12,0.42066848
1520.13,0.41870075
1520.14,0.42212427
1520.15,0.42483434
1520.16,0.41987196
1520.17,0.41844928
1520.18,0.42060646
1520.19,0.41878623
1520.2,0.42091998
1520.21,0.42456
1520.22,0.42188054
1520.23,0.42008883
1520.24,0.42090708
1520.25,0.41849875
1520.26,0.41581574
1520.27,0.4174786
1520.28,0.41615543
1520.29,0.42691994
1520.3,0.41977346
1520.31,0.416546
1520.32,0.41711777
1520.33,0.41626894
1520.34,0.41611907
1520.35,0.41607735
1520.36,0.42234388
1520.37,0.42173013
1520.38,0.42263788
1520.39,0.42111894
1520.4,0.42142
1520.41,0.42166606
1520.42,0.42306194
1520.43,0.4212303
1520.44,0.41541952
1520.45,0.4122654
1520.46,0.42042464
1520.47,0.41945708
1520.48,0.42008728
1520.49,0.41994712
1520.5,0.4206709
1520.51,0.42056933
1520.52,0.42158675
1520.53,0.41947246
1520.54,0.4166877
1520.55,0.41706383
1520.56,0.41499898
1520.57,0.41924796
1520.58,0.41809863
1520.59,0.4211722
1520.6,0.41946483
1520.61,0.41713107
1520.62,0.4147757
1520.63,0.41228187
1520.64,0.4153291
1520.65,0.41318834
1520.66,0.42417356
1520.67,0.4137641
1520.68,0.41294083
1520.69,0.41231006
1520.7,0.41270223
1520.71,0.41263855
1520.72,0.41396576
1520.73,0.4160026
1520.74,0.41196984
1520.75,0.4109318
1520.76,0.41078046
1520.77,0.40982184
1520.78,0.41140518
1520.79,0.41305682
1520.8,0.41124868
1520.81,0.41297734
1520.82,0.4101315
1520.83,0.41410178
1520.84,0.41247857
1520.85,0.4122981
1520.86,0.40742755
1520.87,0.40978757
1520.88,0.40714517
1520.89,0.40876764
1520.9,0.40989536
1520.91,0.40941975
1520.92,0.40936476
1520.93,0.40697485
1520.94,0.40950155
1520.95,0.4069126
1520.96,0.40795982
1520.97,0.40895295
1520.98,0.41002923
1520.99,0.4100328
1521.0,0.4146312
1521.01,0.40925285
1521.02,0.41161785
1521.03,0.41108537
1521.04,0.41302934
1521.05,0.40872115
1521.06,0.4079857
1521.07,0.40373725
1521.08,0.4037041
1521.09,0.40433672
1521.1,0.40211937
1521.11,0.40827325
1521.12,0.41040722
1521.13,0.4068523
1521.14,0.4032118
1521.15,0.4034438
1521.16,0.40186584
1521.17,0.3974975
1521.18,0.39413735
1521.19,0.3976864
1521.2,0.39280644
1521.21,0.39180353
1521.22,0.392735
1521.23,0.39543965
1521.24,0.39504373
1521.25,0.3923977
1521.26,0.3946358
1521.27,0.3936542
1521.28,0.3904605
1521.29,0.39720836
1521.3,0.39267612
1521.31,0.39037594
1521.32,0.39124048
1521.33,0.3865863
1521.34,0.38982317
1521.35,0.39101422
1521.36,0.3874283
1521.37,0.38945603
1521.38,0.3876226
1521.39,0.38819715
1521.4,0.38545108
1521.41,0.39798605
1521.42,0.38694414
1521.43,0.38270837
1521.44,0.38425732
1521.45,0.3805092
1521.46,0.38105083
1521.47,0.378807
1521.48,0.37751502
1521.49,0.3805937
1521.5,0.3731901
1521.51,0.37472892
1521.52,0.3769825
1521.53,0.37512034
1521.54,0.3745623
1521.55,0.3702072
1521.56,0.3709133
1521.57,0.37070277
1521.58,0.3692729
1521.59,0.36796394
1521.6,0.36809424
1521.61,0.36006835
1521.62,0.36512846
1521.63,0.36673224
1521.64,0.368096
1521.65,0.36522353
1521.66,0.3655795
1521.67,0.36811373
1521.68,0.36672783
1521.69,0.36598548
1521.7,0.364161
1521.71,0.3598637
1521.72,0.36367643
1521.73,0.3633682
1521.74,0.36082378
1521.75,0.35930884
1521.76,0.35790533
1521.77,0.3524816
1521.78,0.34927365
1521.79,0.3524818
1521.8,0.35181716
1521.81,0.35307708
1521.82,0.34966645
1521.83,0.35212427
1521.84,0.34932417
1521.85,0.3468948
1521.86,0.35021648
1521.87,0.3480323
1521.88,0.34573138
1521.89,0.34676063
1521.9,0.33953875
1521.91,0.34066525
1521.92,0.3410975
1521.93,0.34210813
1521.94,0.33952677
1521.95,0.33871195
1521.96,0.33656263
1521.97,0.33469263
1521.98,0.3341882
1521.99,0.33465856
1522.0,0.33048782
1522.01,0.3297725
1522.02,0.3297541
1522.03,0.32971415
1522.04,0.32944572
1522.05,0.33143476
1522.06,0.33046725
1522.07,0.33874017
1522.08,0.32700497
1522.09,0.32769275
1522.1,0.3285915
1522.11,0.33053434
1522.12,0.32276013
1522.13,0.32136223
1522.14,0.31991872
1522.15,0.31865716
1522.16,0.31659135
